2020-06-01 08:45:39.528 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - Starting CheckInServiceTest on qixindeMacBook-Air.local with PID 68460 (started by qixin in /Volumes/Transcend/Documents/教学/Java企业版/教学项目/mooc-dubbo/mooc-class-service)
2020-06-01 08:45:39.530 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - No active profile set, falling back to default profiles: default
2020-06-01 08:45:51.744 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - Started CheckInServiceTest in 14.035 seconds (JVM running for 16.752)
2020-06-01 08:45:53.391 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - CheckInDto(id=13, lessonId=33, deadline=2020-06-01 09:15:53.0, gps=true, statusCh=开放, longitude=100.0, latitude=100.0, checkedCount=0, absenceCount=2, lateCount=0, attendanceDtos=[AttendanceDto(checkInId=13, userId=2, longitude=null, latitude=null, userName=xes1, statusCh=缺课, createTime=2020-06-01 08:45:53.0), AttendanceDto(checkInId=13, userId=3, longitude=null, latitude=null, userName=xdf1, statusCh=缺课, createTime=2020-06-01 08:45:53.0)])
2020-06-01 08:47:02.028 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - Starting CheckInServiceTest on qixindeMacBook-Air.local with PID 68516 (started by qixin in /Volumes/Transcend/Documents/教学/Java企业版/教学项目/mooc-dubbo/mooc-class-service)
2020-06-01 08:47:02.030 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - No active profile set, falling back to default profiles: default
2020-06-01 08:47:10.070 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - Started CheckInServiceTest in 8.967 seconds (JVM running for 10.784)
2020-06-01 08:47:11.761 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - CheckInDto(id=16, lessonId=36, deadline=2020-06-01 09:17:11.0, gps=true, statusCh=开放, longitude=100.0, latitude=100.0, checkedCount=0, absenceCount=2, lateCount=0, attendanceDtos=[AttendanceDto(checkInId=16, userId=2, longitude=null, latitude=null, userName=xes1, statusCh=缺课, createTime=2020-06-01 08:47:12.0), AttendanceDto(checkInId=16, userId=3, longitude=null, latitude=null, userName=xdf1, statusCh=缺课, createTime=2020-06-01 08:47:12.0)])
2020-06-01 08:48:36.191 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - Starting CheckInServiceTest on qixindeMacBook-Air.local with PID 68626 (started by qixin in /Volumes/Transcend/Documents/教学/Java企业版/教学项目/mooc-dubbo/mooc-class-service)
2020-06-01 08:48:36.196 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - No active profile set, falling back to default profiles: default
2020-06-01 08:48:48.042 [main] INFO  e.w.cs.jee.mooc.mclass.service.CheckInServiceTest - Started CheckInServiceTest in 12.97 seconds (JVM running for 15.218)
